Year,Month,States,Cents/kWh,CEPCI,2021 cents/kWh,2021_$/kWh,Year,CEPCI,source,,PA_2021_$/kWh
2025,6,IN,8.49,810.4,7.425607108,0.074256071,,,,,0.0922154
2025,6,KS,8.06,810.4,7.049516288,0.070495163,,,,,0.09524084
2025,6,KY,7.06,810.4,6.174886476,0.061748865,,,,,0.096208981
2025,6,LA,6.34,810.4,5.545153011,0.05545153,,,,,0.094272699
2025,6,MA,19.45,810.4,17.01154985,0.170115499,,,,,0.094151682
2025,6,MD,14.51,810.4,12.69087858,0.126908786,,,,,0.094030664
2025,6,ME,15.11,810.4,13.21565647,0.132156565,,,,,0.093788629
2025,6,MI,8.74,810.4,7.644264561,0.076442646,,,,,0.096814069
2025,6,MN,9.81,810.4,8.58011846,0.085801185,,,,,0.098871368
2025,6,MO,9.65,810.4,8.44017769,0.084401777,,,,,0.097801017
2025,6,MS,7.47,810.4,6.533484699,0.065334847,,,,,0.098444444
2025,6,MT,7.49,810.4,6.550977295,0.065509773,,,,,0.096514161
2025,6,NC,7.67,810.4,6.708410661,0.067084107,,,,,0.102433696
2025,6,ND,7.85,810.4,6.865844028,0.06865844,,,,,0.099345243
2025,6,NE,8.6,810.4,7.521816387,0.075218164,,,,,0.10320581
2025,6,NH,15.95,810.4,13.95034551,0.139503455,,,,,0.096514161
2025,6,NJ,15.39,810.4,13.46055281,0.134605528,,,,,0.097286275
2025,6,NM,5.98,810.4,5.230286278,0.052302863,,,,,0.097157589
2025,6,NV,9.49,810.4,8.30023692,0.083002369,,,,,0.100246042
2025,6,NY,10.25,810.4,8.964955577,0.089649556,,,,,0.102176325
2025,6,OH,8.57,810.4,7.495577493,0.074955775,,,,,0.091238054
2025,6,OK,6.49,810.4,5.676347483,0.056763475,,,,,0.095882889
2025,6,OR,8.45,810.4,7.390621915,0.073906219,,,,,0.096697758
2025,6,PA,9.3,810.4,8.134057256,0.081340573,,,,,0.098327496
2025,6,RI,18.59,810.4,16.25936821,0.162593682,,,,,0.098599119
2025,6,SC,7.21,810.4,6.306080948,0.063060809,,,,,0.09683357
2025,6,SD,8.78,810.4,7.679249753,0.076792498,,,,,0.094932209
2025,6,TN,6.75,810.4,5.903751234,0.059037512,,,,,0.103488331
2025,6,TX,6.34,810.4,5.545153011,0.05545153,,,,,0.093574095
2025,6,UT,8.5,810.4,7.434353406,0.074343534,,,,,0.104031577
2025,6,VA,9.1,810.4,7.959131293,0.079591313,,,,,0.098327496
2025,6,VT,12.27,810.4,10.7317078,0.107317078,,,,,0.103488331
2025,6,WA,6.61,810.4,5.78130306,0.057813031,,,,,0.092759226
2025,6,WI,9.62,810.4,8.413938796,0.084139388,,,,,0.084011401
2025,6,WV,8.35,810.4,7.303158934,0.073031589,,,,,0.086351894
2025,6,WY,8.79,810.4,7.687996051,0.076879961,,,,,0.087706917
2025,5,AK,19.09,810.4,16.69668312,0.166966831,,,,,0.085859159
2025,5,AL,7.53,810.4,6.585962488,0.065859625,,,,,0.090170594
2025,5,AR,6.44,810.4,5.632615992,0.05632616,,,,,0.087460549
2025,5,AZ,8.41,810.4,7.355636723,0.073556367,,,,,0.088569204
2025,5,CA,20.17,810.4,17.64128332,0.176412833,,,,,0.085612791
2025,5,CO,9.17,810.4,8.02035538,0.080203554,,,,,0.086105527
2025,5,CT,17.49,810.4,15.29727542,0.152972754,,,,,0.086721446
2025,5,DC,11.48,810.4,10.04075025,0.100407502,,,,,0.085243239
2025,5,DE,8.2,810.4,7.171964462,0.071719645,,,,,0.085243239
2025,5,FL,8.72,810.4,7.626771964,0.07626772,,,,,0.091196955
2025,5,GA,6.93,810.4,6.0611846,0.060611846,,,,,0.090657328
2025,5,HI,30.69,810.4,26.84238894,0.268423889,,,,,0.093085649
2025,5,IA,6.63,810.4,5.798795656,0.057987957,,,,,0.092546022
2025,5,ID,7.73,810.4,6.76088845,0.067608885,,,,,0.092276209
2025,5,IL,9.21,810.4,8.055340573,0.080553406,,,,,0.096323411
2025,5,IN,8.51,810.4,7.443099704,0.074430997,,,,,0.091871488
2025,5,KS,7.76,810.4,6.787127345,0.067871273,,,,,0.09470453
2025,5,KY,6.88,810.4,6.01745311,0.060174531,,,,,0.092680929
2025,5,LA,6.69,810.4,5.851273445,0.058512734,,,,,0.096188504
2025,5,MA,18.94,810.4,16.56548865,0.165654886,,,,,0.089982794
2025,5,MD,10.37,810.4,9.069911155,0.090699112,,,,,0.090387514
2025,5,ME,14.69,810.4,12.84831194,0.128483119,,,,,0.094345877
2025,5,MI,8.62,810.4,7.539308983,0.07539309,,,,,0.096332106
2025,5,MN,9.46,810.4,8.273998026,0.08273998,,,,,0.092075901
2025,5,MO,7.58,810.4,6.629693978,0.06629694,,,,,0.093352762
2025,5,MS,7.22,810.4,6.314827246,0.063148272,,,,,0.096473979
2025,5,MT,7,810.4,6.122408687,0.061224087,,,,,0.097892714
2025,5,NC,7.44,810.4,6.507245805,0.065072458,,,,,0.09448775
2025,5,ND,7.68,810.4,6.71715696,0.06717157,,,,,0.092075901
2025,5,NE,8.43,810.4,7.373129319,0.073731293,,,,,0.095197118
2025,5,NH,15.75,810.4,13.77541955,0.137754195,,,,,0.092075901
2025,5,NJ,12.55,810.4,10.97660415,0.109766041,,,,,0.094204003
2025,5,NM,6.07,810.4,5.309002962,0.05309003,,,,,0.090940913
2025,5,NV,6.81,810.4,5.956229023,0.05956229,,,,,0.097342674
2025,5,NY,9.3,810.4,8.134057256,0.081340573,,,,,0.094314908
2025,5,OH,7.62,810.4,6.664679171,0.066646792,,,,,0.095677403
2025,5,OK,5.8,810.4,5.072852912,0.050728529,,,,,0.096131568
2025,5,OR,8.21,810.4,7.18071076,0.071807108,,,,,0.096131568
2025,5,PA,8.52,810.4,7.451846002,0.07451846,,,,,0.098705169
2025,5,RI,22.28,810.4,19.48675222,0.194867522,,,,,0.096888509
2025,5,SC,6.82,810.4,5.964975321,0.059649753,,,,,0.09416352
2025,5,SD,8.95,810.4,7.827936821,0.078279368,,,,,0.094314908
2025,5,TN,6.66,810.4,5.825034551,0.058250346,,,,,0.092195472
2025,5,TX,6.63,810.4,5.798795656,0.057987957,,,,,0.093860743
2025,5,UT,7.54,810.4,6.594708786,0.065947088,,,,,0.093406578
2025,5,VA,9.03,810.4,7.897907206,0.078979072,,,,,0.092868438
2025,5,VT,11.82,810.4,10.33812438,0.103381244,,,,,0.093825844
2025,5,WA,6.61,810.4,5.78130306,0.057813031,,,,,0.093506709
2025,5,WI,8.65,810.4,7.565547878,0.075655479,,,,,0.093666276
2025,5,WV,8.26,810.4,7.224442251,0.072244423,,,,,0.093187573
2025,5,WY,9,810.4,7.871668312,0.078716683,,,,,0.094942819
2025,4,AK,20.01,810.4,17.50134255,0.175013425,,,,,0.092070599
2025,4,AL,7.81,810.4,6.830858835,0.068308588,,,,,0.094942819
2025,4,AR,6.39,810.4,5.588884501,0.055888845,,,,,0.094942819
2025,4,AZ,7.87,810.4,6.883336624,0.068833366,,,,,0.092549302
2025,4,CA,18.07,810.4,15.80456071,0.158045607,,,,,0.095740657
2025,4,CO,9.15,810.4,8.002862784,0.080028628,,,,,0.09270887
2025,4,CT,19.07,810.4,16.67919052,0.166791905,,,,,0.101383085
2025,4,DC,14.49,810.4,12.67338598,0.12673386,,,,,0.101383085
2025,4,DE,8.61,810.4,7.530562685,0.075305627,,,,,0.101559403
2025,4,FL,8.88,810.4,7.766712734,0.077667127,,,,,0.106672637
2025,4,GA,7.01,810.4,6.131154985,0.06131155,,,,,0.102088358
2025,4,HI,32.35,810.4,28.29427443,0.282942744,,,,,0.101383085
2025,4,IA,6.04,810.4,5.282764067,0.052827641,,,,,0.101383085
2025,4,ID,7.55,810.4,6.603455084,0.066034551,,,,,0.101030448
2025,4,IL,9.81,810.4,8.58011846,0.085801185,,,,,0.099090945
2025,4,IN,9.01,810.4,7.88041461,0.078804146,,,,,0.104909453
2025,4,KS,7.79,810.4,6.813366239,0.068133662,,,,,0.104733134
2025,4,KY,6.93,810.4,6.0611846,0.060611846,,,,,0.10296995
2025,4,LA,6.89,810.4,6.026199408,0.060261994,,,,,0.103023256
2025,4,MA,18.95,810.4,16.57423495,0.165742349,,,,,0.101589889
2025,4,MD,10.61,810.4,9.27982231,0.092798223,,,,,0.102844085
2025,4,ME,14,810.4,12.24481737,0.122448174,,,,,0.10588999
2025,4,MI,8.53,810.4,7.4605923,0.074605923,,,,,0.10176906
2025,4,MN,8.37,810.4,7.32065153,0.073206515,,,,,0.107323357
2025,4,MO,7.66,810.4,6.699664363,0.066996644,,,,,0.104098281
2025,4,MS,7.39,810.4,6.463514314,0.064635143,,,,,0.10391911
2025,4,MT,6.45,810.4,5.64136229,0.056413623,,,,,0.106069161
2025,4,NC,7.6,810.4,6.647186575,0.066471866,,,,,0.106069161
2025,4,ND,7.58,810.4,6.629693978,0.06629694,,,,,0.106785844
2025,4,NE,7.9,810.4,6.909575518,0.069095755,,,,,0.105710819
2025,4,NH,16.06,810.4,14.04655479,0.140465548,,,,,0.10426173
2025,4,NJ,13.01,810.4,11.37893386,0.113789339,,,,,0.103542683
2025,4,NM,6.42,810.4,5.615123396,0.056151234,,,,,0.101745067
2025,4,NV,7.04,810.4,6.15739388,0.061573939,,,,,0.110373624
2025,4,NY,8.92,810.4,7.801697927,0.078016979,,,,,0.1076772
2025,4,OH,7.9,810.4,6.909575518,0.069095755,,,,,0.107137915
2025,4,OK,5.51,810.4,4.819210267,0.048192103,,,,,0.104980776
2025,4,OR,7.94,810.4,6.944560711,0.069445607,,,,,0.101205782
2025,4,PA,8.59,810.4,7.513070089,0.075130701,,,,,0.104621253
2025,4,RI,20.14,810.4,17.61504442,0.176150444,,,,,0.098329597
2025,4,SC,6.66,810.4,5.825034551,0.058250346,,,,,0.093655795
2025,4,SD,8.46,810.4,7.399368213,0.073993682,,,,,0.10659863
2025,4,TN,6.8,810.4,5.947482725,0.059474827,,,,,0.110069931
2025,4,TX,6.51,810.4,5.693840079,0.056938401,,,,,0.107911698
2025,4,UT,7.84,810.4,6.85709773,0.068570977,,,,,0.104854199
2025,4,VA,9.11,810.4,7.967877591,0.079678776,,,,,0.106832581
2025,4,VT,12.02,810.4,10.51305035,0.105130503,,,,,0.107372139
2025,4,WA,6.46,810.4,5.650108588,0.056501086,,,,,0.105034052
2025,4,WI,8.29,810.4,7.250681145,0.072506811,,,,,0.103235524
2025,4,WV,8.43,810.4,7.373129319,0.073731293,,,,,0.086868917
2025,4,WY,8.47,810.4,7.408114511,0.074081145,,,,,0.086689064
2025,3,AK,20.16,810.4,17.63253702,0.17632537,,,,,0.097120528
2025,3,AL,7.44,810.4,6.507245805,0.065072458,,,,,0.099638467
2025,3,AR,6.28,810.4,5.492675222,0.054926752,,,,,0.10359523
2025,3,AZ,7.84,810.4,6.85709773,0.068570977,,,,,0.0805702
2025,3,CA,19.84,810.4,17.35265548,0.173526555,,,,,0.084018024
2025,3,CO,8.61,810.4,7.530562685,0.075305627,,,,,0.084018024
2025,3,CT,19.82,810.4,17.33516288,0.173351629,,,,,0.082203379
2025,3,DC,13.36,810.4,11.68505429,0.116850543,,,,,0.092546851
